molecule_id,SMILES
1,C(#N)[C@](CC)(/N=N/[C@@](CC)(C)C#N)C
3,c1cc(cnc1N)C(=O)N
6,C1(=N[C@H](NC(=N1)O)N)N
8,c1c(ncc(n1)N)C#N
9,C(=O)(C(C(=O)N)N)N
11,C(=O)(N)/N=N/C(=O)N
12,C(=O)(CNC(=O)C)NC
13,c1c(cnc(n1)C#N)N
14,C(=O)([C@H](N)C#N)N
15,C(CNC(=O)C(=O)NCCO)O
16,C(=O)(N)NNC(=O)N
17,C(=O)(CC#N)N
18,c1cc(cc(n1)C#N)N(O)O
19,c1cc(nc(n1)Cl)C(=O)N
22,C(=O)(NC)NC
23,c1c(c(c(cc1N(O)O)N(O)O)O)C(=O)O
24,n1n[nH]n(CCN(C)C)c1=S
26,c1c(cc(cc1N(O)O)N(O)O)C#N
27,C1C(CC(=O)NC1=O)(C)C
28,C(=C(\C#N)/N)(/C#N)\N
29,c1(c(c(=O)[nH]cn1)N(O)O)O
30,c1(cc(nc(=S)[nH]1)N)N
32,P(=O)(OCC)(OCC)N
33,S(=O)(=O)(N)C=C
34,c1c(c[nH]c(=O)c1N(O)O)C(=O)O
36,C(#N)CNC(=O)C
37,C(=O)(C(=O)NC)NC
39,C=CC(=O)NCNC(=O)C=C
41,n1n[nH][nH]c1=S
42,C(=O)(C(F)(F)F)NC
43,c1ccncc1C(=O)N
44,c1cc(ccc1N(O)O)N
45,c1[nH]c(cn1)N(O)O
50,[C@H]12[C@@H](N(C(=O)N1C(=O)C)C(=O)C)N(C(=O)N2C(=O)C)C(=O)C
54,C1C(=CC=CN1[C@H]1O[C@@H]([C@@H]([C@@H]1O)O)CO[P@](=O)(O)O)C(=O)N
55,c1(c(cccn1)C(=O)N)C(=O)N
56,C(=O)(CC(CC(=O)N)C(=O)N)N
57,C(C(S(=O)(=O)N)(F)F)(F)(F)F
58,C(CNCCNCCNCCN)N